listing_id,title,subtitle,price,year,km,hand,gearbox,engine,engine_type,engine_cc,location,current_ownership,original_ownership,test_valid_until,score,decision,positive_reasons,flags,image_count,url,color,body_type,phone_available,first_seen_at,last_seen_at,last_notified_at,tags
hh9dl9wd,הונדה ג'אז,Comfort אוט׳ 1.3 (102 כ״ס) [2017-2021],"53,000 ₪",2018,"92,000",2,אוטומט,"בנזין, 1318",בנזין,1318,אזור חיפה והסביבה,סוכנות (N.Y cars),פרטית,01/11/2026,65,notify,first_or_second_hand: יד 2,,105,https://www.yad2.co.il/vehicles/item/hh9dl9wd,לבן שנהב,האצ'בק,no,19/08/2026 13:21,19/08/2026 17:08,19/08/2026 13:21,
1pbdqqf0,מאזדה 2,Dynamic אוט׳ 1.5 (112 כ״ס),"45,000 ₪",2016,"107,000",1,אוטומט,"בנזין, 1496",בנזין,1496,אזור חיפה והסביבה,סוכנות (שירה Car),,01/01/2027,65,notify,first_or_second_hand: יד 1,,127,https://www.yad2.co.il/vehicles/item/1pbdqqf0,אדום,האצ'בק,no,19/08/2026 10:36,19/08/2026 17:08,19/08/2026 10:36,
clkisuj9,יונדאי אלנטרה,Supreme אוט׳ 1.6 (132 כ״ס),"47,900 ₪",2016,"107,000",2,אוטומט,"בנזין, 1591",בנזין,1591,אזור ראשון לציון והסביבה,סוכנות (nextcar),פרטית,01/08/2027,65,notify,first_or_second_hand: יד 2,,156,https://www.yad2.co.il/vehicles/item/clkisuj9,בז' מטאלי,סדאן,no,19/08/2026 10:36,19/08/2026 17:08,19/08/2026 10:36,סאן-רוף | גלגלי מגנזיום | בקרת שמירת מרחק
isu5qvz8,מאזדה 3,Sport אוט׳ סדאן 4 דל 2.0 (165 כ״ס),"55,000 ₪",2018,"92,330",2,אוטומט,"בנזין, 1998",בנזין,1998,אזור חדרה והסביבה,סוכנות (Avi Motors),החכר (ליסינג),01/08/2027,65,notify,first_or_second_hand: יד 2,,168,https://www.yad2.co.il/vehicles/item/isu5qvz8,כסוף,סדאן,no,18/08/2026 21:28,19/08/2026 17:08,,גלגלי מגנזיום | חסכוני
u6a4p334,יונדאי I35,Supreme אוט׳ 1.6 (132 כ״ס),"46,000 ₪",2016,"118,000",2,אוטומט,"בנזין, 1591",בנזין,1591,אזור באר שבע והסביבה,פרטית,פרטית,01/03/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,224,https://www.yad2.co.il/vehicles/item/u6a4p334,שחור,סדאן,no,18/08/2026 21:27,19/08/2026 17:08,18/08/2026 21:28,
d4o475e8,מאזדה 2,Dynamic אוט׳ 1.5 (112 כ״ס),"49,000 ₪",2017,"115,000",2,אוטומט,"בנזין, 1496",בנזין,1496,אזור חולון ובת ים,סוכנות (My Motors),פרטית,01/08/2027,65,notify,first_or_second_hand: יד 2,,164,https://www.yad2.co.il/vehicles/item/d4o475e8,לבן פנינה,האצ'בק,no,18/08/2026 14:04,19/08/2026 17:08,18/08/2026 14:04,
vr2n47qj,מאזדה 3,Sport אוט׳ סדאן 4 דל 2.0 (165 כ״ס),"52,900 ₪",2017,"103,000",2,אוטומט,"בנזין, 1998",בנזין,1998,אזור חדרה והסביבה,סוכנות (Avi Motors),החכר (ליסינג),01/03/2027,65,notify,first_or_second_hand: יד 2,,60,https://www.yad2.co.il/vehicles/item/vr2n47qj,לבן שנהב,סדאן,no,18/08/2026 14:04,18/08/2026 17:26,,גלגלי מגנזיום | חסכוני
auvuy6vn,מאזדה 3,Sport אוט׳ סדאן 4 דל 2.0 (165 כ״ס),"53,500 ₪",2018,"91,000",2,אוטומט,"בנזין, 1998",בנזין,1998,אזור רמת השרון והרצליה,סוכנות (יהלומים מיפן),השכרה,01/06/2027,65,notify,first_or_second_hand: יד 2,,287,https://www.yad2.co.il/vehicles/item/auvuy6vn,כחול,סדאן,no,18/08/2026 14:04,19/08/2026 17:08,,גלגלי מגנזיום | חסכוני | נסיעת מבחן
xn32k9ae,מאזדה 2,Dynamic אוט׳ 1.5 (112 כ״ס),"50,500 ₪",2016,"93,000",2,אוטומט,"בנזין, 1496",בנזין,1496,אזור מודיעין והסביבה,פרטית,ייבוא מקביל,01/01/2027,75,notify,private_ownership: 'פרטית' | first_or_second_hand: יד 2,,328,https://www.yad2.co.il/vehicles/item/xn32k9ae,שחור מטאלי,האצ'בק,no,18/08/2026 14:04,19/08/2026 17:08,,
8wnt8gny,הונדה סיוויק,Comfort אוט׳ האצ'בק 5 דל 1.8 (142 כ״ס),"51,500 ₪",2017,"120,000",1,אוטומט,"בנזין, 1798",בנזין,1798,אזור חולון ובת ים,סוכנות (unicar),,18/08/2026,65,notify,first_or_second_hand: יד 1,,369,https://www.yad2.co.il/vehicles/item/8wnt8gny,כסף מטלי,האצ'בק,no,18/08/2026 14:04,19/08/2026 17:08,18/08/2026 14:04,מנוע חזק | גלגלי מגנזיום | בקרת שמירת מרחק
